OA11CD,LSOA11CD,supgrpcode,supgrpname,Total_Population
E00069014,E01013666,6,Suburbanites,316
E00069095,E01013688,4,Multicultural Metropolitans,304
E00069093,E01013692,4,Multicultural Metropolitans,339
E00069012,E01013671,4,Multicultural Metropolitans,286
E00069092,E01013691,8,Hard-Pressed Living,313
E00069090,E01013684,4,Multicultural Metropolitans,320
E00069013,E01013671,4,Multicultural Metropolitans,555
E00069010,E01013670,4,Multicultural Metropolitans,348
E00069011,E01013671,4,Multicultural Metropolitans,564
E00069329,E01013740,4,Multicultural Metropolitans,413
E00069276,E01013731,8,Hard-Pressed Living,359
E00069270,E01013729,8,Hard-Pressed Living,306
E00069424,E01013764,4,Multicultural Metropolitans,415
E00069421,E01013766,4,Multicultural Metropolitans,438
E00069429,E01013766,4,Multicultural Metropolitans,487
E00068798,E01013628,4,Multicultural Metropolitans,317
E00068719,E01013609,5,Urbanites,276
E00069146,E01013695,8,Hard-Pressed Living,241
E00068980,E01013662,4,Multicultural Metropolitans,321
E00068989,E01013672,6,Suburbanites,354
E00068857,E01013640,8,Hard-Pressed Living,375
E00068854,E01013638,8,Hard-Pressed Living,361
E00068855,E01013641,4,Multicultural Metropolitans,274
E00068850,E01013638,7,Constrained City Dwellers,321
E00068859,E01013638,8,Hard-Pressed Living,346
E00069546,E01013783,5,Urbanites,332
E00169542,E01013617,4,Multicultural Metropolitans,265
E00069542,E01013783,4,Multicultural Metropolitans,277
E00069540,E01013785,5,Urbanites,401
E00069541,E01013782,4,Multicultural Metropolitans,319
E00069021,E01013679,4,Multicultural Metropolitans,363
E00069028,E01013677,8,Hard-Pressed Living,233
E00169055,E01013696,4,Multicultural Metropolitans,341
E00069333,E01013738,4,Multicultural Metropolitans,429
E00069331,E01013741,4,Multicultural Metropolitans,363
E00169444,E01013647,2,Cosmopolitans,390
E00069246,E01013722,4,Multicultural Metropolitans,486
E00069244,E01013717,4,Multicultural Metropolitans,214
E00069438,E01013756,4,Multicultural Metropolitans,343
E00069437,E01013759,4,Multicultural Metropolitans,480
E00069434,E01013757,4,Multicultural Metropolitans,319
E00069430,E01013756,4,Multicultural Metropolitans,316
E00069432,E01013756,4,Multicultural Metropolitans,412
E00069431,E01013765,4,Multicultural Metropolitans,422
E00069153,E01013700,4,Multicultural Metropolitans,291
E00068917,E01013654,4,Multicultural Metropolitans,450
E00068996,E01013667,4,Multicultural Metropolitans,334
E00068915,E01013655,4,Multicultural Metropolitans,320
E00068994,E01013672,6,Suburbanites,375
E00068911,E01013647,3,Ethnicity Central,315
E00068990,E01013667,4,Multicultural Metropolitans,361
E00069065,E01013686,6,Suburbanites,346
E00068826,E01013641,4,Multicultural Metropolitans,330
E00068827,E01013632,8,Hard-Pressed Living,307
E00068823,E01013641,4,Multicultural Metropolitans,270
E00068820,E01013635,4,Multicultural Metropolitans,411
E00069372,E01013746,3,Ethnicity Central,353
E00069307,E01013738,6,Suburbanites,347
E00069386,E01013752,4,Multicultural Metropolitans,270
E00069303,E01013739,4,Multicultural Metropolitans,623
E00069382,E01013748,3,Ethnicity Central,126
E00069309,E01013732,4,Multicultural Metropolitans,379
E00069388,E01013747,4,Multicultural Metropolitans,351
E00069253,E01013728,4,Multicultural Metropolitans,294
E00069256,E01013728,8,Hard-Pressed Living,333
E00069250,E01013726,7,Constrained City Dwellers,268
E00069259,E01013730,7,Constrained City Dwellers,221
E00169483,E01032872,2,Cosmopolitans,295
E00069487,E01013779,2,Cosmopolitans,347
E00169481,E01032875,2,Cosmopolitans,542
E00069484,E01013775,4,Multicultural Metropolitans,324
E00069405,E01013761,4,Multicultural Metropolitans,409
E00069400,E01013743,4,Multicultural Metropolitans,322
E00069481,E01013779,2,Cosmopolitans,357
E00169489,E01032867,2,Cosmopolitans,178
E00169488,E01032868,2,Cosmopolitans,413
E00069408,E01013758,4,Multicultural Metropolitans,462
E00069489,E01013774,4,Multicultural Metropolitans,292
E00068770,E01013620,4,Multicultural Metropolitans,387
E00068765,E01013619,4,Multicultural Metropolitans,262
E00068766,E01013619,3,Ethnicity Central,389
E00068768,E01013619,4,Multicultural Metropolitans,373
E00068686,E01013605,4,Multicultural Metropolitans,374
E00068684,E01013606,4,Multicultural Metropolitans,273
E00068681,E01013603,4,Multicultural Metropolitans,281
E00068688,E01013606,4,Multicultural Metropolitans,334
E00069125,E01013696,4,Multicultural Metropolitans,341
E00069128,E01013699,4,Multicultural Metropolitans,398
E00168094,E01013646,2,Cosmopolitans,141
E00069395,E01013755,3,Ethnicity Central,471
E00069314,E01013735,6,Suburbanites,259
E00069315,E01013735,6,Suburbanites,312
E00069394,E01013754,3,Ethnicity Central,383
E00069318,E01013736,6,Suburbanites,311
E00069399,E01013743,4,Multicultural Metropolitans,422
E00069225,E01013716,4,Multicultural Metropolitans,327
E00069414,E01013756,4,Multicultural Metropolitans,436
E00069495,E01013776,3,Ethnicity Central,209
E00069412,E01013765,4,Multicultural Metropolitans,479
E00069493,E01013776,2,Cosmopolitans,362
E00069490,E01013776,4,Multicultural Metropolitans,375
E00069411,E01013765,4,Multicultural Metropolitans,405
E00069418,E01013759,4,Multicultural Metropolitans,477
E00069499,E01013777,4,Multicultural Metropolitans,267
E00069419,E01013758,4,Multicultural Metropolitans,427
E00069498,E01013777,4,Multicultural Metropolitans,292
E00068774,E01013621,4,Multicultural Metropolitans,545
E00068776,E01013620,4,Multicultural Metropolitans,270
E00068691,E01013606,4,Multicultural Metropolitans,241
E00068690,E01013605,4,Multicultural Metropolitans,387
E00068699,E01013600,4,Multicultural Metropolitans,292
E00068966,E01013658,4,Multicultural Metropolitans,403
E00068963,E01013658,4,Multicultural Metropolitans,545
E00068960,E01013663,4,Multicultural Metropolitans,283
E00068969,E01013660,4,Multicultural Metropolitans,304
E00069136,E01013696,6,Suburbanites,395
E00069139,E01013695,4,Multicultural Metropolitans,317
E00069046,E01013674,8,Hard-Pressed Living,329
E00069045,E01013675,8,Hard-Pressed Living,249
E00068880,E01013642,2,Cosmopolitans,292
E00068801,E01013625,4,Multicultural Metropolitans,331
E00069231,E01013720,4,Multicultural Metropolitans,304
E00069234,E01013720,4,Multicultural Metropolitans,212
E00069230,E01013718,4,Multicultural Metropolitans,369
E00069238,E01013714,4,Multicultural Metropolitans,399
E00068744,E01013615,5,Urbanites,416
E00068740,E01013622,4,Multicultural Metropolitans,348
